"ip_address","ip_prefix","application_id"
"37.221.162.226",32,163
"37.221.162.226",32,163
"37.221.165.229",32,163
"37.221.165.246",32,163
"37.221.193.20",32,163
"37.221.197.183",32,163
"37.228.130.3",32,163
"37.228.132.36",32,163
"37.230.1.67",32,163
"37.235.48.247",32,163
"37.235.49.46",32,163
"37.235.49.124",32,163
"37.235.52.67",32,163
"37.235.55.83",32,163
"37.235.60.57",32,163
"37.235.60.60",32,163
"37.235.62.7",32,163
"37.247.22.53",32,163
"37.247.50.167",32,163
"37.247.52.140",32,163
"37.247.53.162",32,163
"37.252.12.186",32,163
"37.252.190.133",32,163
"38.77.22.251",32,163
"38.108.10.140",32,163
"38.130.80.38",32,163
"38.130.80.57",32,163
"38.229.0.28",32,163
"38.229.0.29",32,163
"38.229.70.33",32,163
"38.229.70.34",32,163
"38.229.70.42",32,163
"38.229.70.42",32,163
"38.229.70.51",32,163
"38.229.70.52",32,163
"38.229.70.53",32,163
"38.229.70.54",32,163
"38.229.70.61",32,163
"38.229.79.2",32,163
"39.119.93.201",32,163
"41.72.133.174",32,163
"41.77.136.250",32,163
"41.133.130.142",32,163
"41.182.25.181",32,163
"41.212.37.122",32,163
"41.215.241.234",32,163
"41.223.53.141",32,163
"41.242.1.242",32,163
"42.2.239.234",32,163
"42.112.16.196",32,163
"42.112.19.65",32,163
"42.112.19.201",32,163
"43.250.8.42",32,163
"43.250.8.66",32,163
"46.4.0.156",32,163
"46.4.24.168",32,163
"46.4.25.214",32,163
"46.4.34.242",32,163
"46.4.39.235",32,163
"46.4.55.177",32,163
"46.4.60.106",32,163
"46.4.87.172",32,163
"46.4.103.35",32,163
"46.4.106.18",32,163
"46.4.106.207",32,163
"46.4.111.124",32,163
"46.4.116.176",32,163
"46.4.122.162",32,163
"46.4.122.173",32,163
"46.4.174.52",32,163
"46.4.183.119",32,163
"46.4.253.194",32,163
"46.5.29.196",32,163
"46.5.30.5",32,163
"46.5.95.19",32,163
"46.5.153.113",32,163
"46.9.195.20",32,163
"46.10.205.252",32,163
"46.14.245.206",32,163
"46.16.234.131",32,163
"46.17.63.214",32,163
"46.19.142.29",32,163
"46.19.142.126",32,163
"46.20.246.117",32,163
"46.22.123.222",32,163
"46.23.70.195",32,163
"46.23.85.31",32,163
"46.28.68.158",32,163
"46.28.69.129",32,163
"46.28.110.129",32,163
"46.28.110.244",32,163
"46.28.202.214",32,163
"46.28.207.120",32,163
"46.32.232.238",32,163
"46.32.234.189",32,163
"46.36.35.213",32,163
"46.36.37.27",32,163
"46.36.37.183",32,163
"46.36.37.214",32,163
"46.36.39.26",32,163
"46.38.57.196",32,163
"46.38.62.30",32,163
"46.38.63.7",32,163
"46.38.233.242",32,163
"46.38.250.39",32,163
"46.39.121.188",32,163
"46.41.130.68",32,163
"46.41.132.84",32,163
"46.43.50.92",32,163
"46.45.15.123",32,163
"46.47.19.58",32,163
"46.55.20.109",32,163
"46.59.39.185",32,163
"46.59.58.117",32,163
"46.59.142.236",32,163
"46.59.148.57",32,163
"46.59.153.152",32,163
"46.59.185.215",32,163
"46.59.240.78",32,163
"46.72.89.77",32,163
"46.73.249.96",32,163
"46.105.17.72",32,163
"46.105.96.190",32,163
"46.105.172.86",32,163
"46.105.232.188",32,163
"46.108.39.219",32,163
"46.118.17.12",32,163
"46.118.39.9",32,163
"46.118.163.143",32,163
"46.118.229.201",32,163
"46.126.71.170",32,163
"46.127.198.100",32,163
"46.127.203.47",32,163
"46.127.208.248",32,163
"46.128.4.87",32,163
"46.128.45.99",32,163
"46.128.45.118",32,163
"46.128.213.43",32,163
"46.129.19.143",32,163
"46.129.21.230",32,163
"46.129.124.22",32,163
"46.132.188.221",32,163
"46.146.224.39",32,163
"46.149.18.10",32,163
"46.151.208.213",32,163
"46.162.82.69",32,163
"46.162.97.145",32,163
"46.163.64.202",32,163
"46.163.65.160",32,163
"46.163.68.156",32,163
"46.163.76.32",32,163
"46.163.76.250",32,163
"46.163.219.86",32,163
"46.165.197.96",32,163
"46.165.221.166",32,163
"46.165.221.166",32,163
"46.165.223.214",32,163
"46.165.223.217",32,163
"46.165.223.227",32,163
"46.165.240.143",32,163
"46.165.242.166",32,163
"46.165.249.228",32,163
"46.165.250.235",32,163
"46.166.161.39",32,163
"46.167.245.51",32,163
"46.167.245.69",32,163
"46.167.245.172",32,163
"46.181.238.164",32,163
"46.182.18.36",32,163
"46.182.18.111",32,163
"46.182.18.245",32,163
"46.182.19.3",32,163
"46.182.21.99",32,163
"46.182.106.190",32,163
"46.182.132.90",32,163
"46.182.208.28",32,163
"46.183.217.244",32,163
"46.183.218.141",32,163
"46.183.219.196",32,163
"46.183.220.132",32,163
"46.185.225.133",32,163
"46.187.3.156",32,163
"46.188.4.37",32,163
"46.188.10.23",32,163
